,DATE,RV,RSV_plus,RSV_minus
38,20110228,2.7934228260654915e-05,1.466691259166692e-05,1.3267315668988003e-05
39,20110301,8.288314162535455e-05,2.3431349185795384e-05,5.945179243955919e-05
40,20110302,5.5366561873053494e-05,2.8941494927708574e-05,2.642506694534492e-05
41,20110303,2.838088355889628e-05,1.9270623110760818e-05,9.11026044813546e-06
42,20110304,6.02565792509514e-05,2.5663079133912054e-05,3.4593500117039354e-05
43,20110307,6.94565434910402e-05,3.223376242115637e-05,3.722278106988382e-05
44,20110308,4.855047119499453e-05,2.7098794057986895e-05,2.145167713700764e-05
45,20110309,7.109673710209672e-05,3.834615752796131e-05,3.27505795741354e-05
46,20110310,9.04163306324047e-05,3.747038872673148e-05,5.294594190567324e-05
47,20110311,5.3125857544850455e-05,3.413396700555364e-05,1.8991890539296824e-05
48,20110314,6.90601245689761e-05,3.788090503593028e-05,3.117921953304582e-05
49,20110315,0.0001472428958690112,8.736672860392485e-05,5.987616726508636e-05
50,20110316,0.0002247809486038397,9.261445047958437e-05,0.00013216649812425533
51,20110317,8.837293406373169e-05,4.09290391760138e-05,4.744389488771792e-05
52,20110318,5.8699579376512236e-05,2.283651634228367e-05,3.5863063034228565e-05
53,20110321,2.8660610129941612e-05,1.735593780998054e-05,1.130467231996107e-05
54,20110322,3.1775545094056914e-05,1.5473782830409124e-05,1.6301762263647797e-05
55,20110323,3.6783535408068666e-05,1.8945484187250544e-05,1.7838051220818122e-05
56,20110324,3.212699249016413e-05,1.833664842612488e-05,1.3790344064039255e-05
57,20110325,2.2425184236350273e-05,9.898472372398124e-06,1.2526711863952144e-05
58,20110328,1.7197891205141255e-05,7.366673091790718e-06,9.831218113350541e-06
59,20110329,2.3016981850987095e-05,1.4975218363898403e-05,8.04176348708869e-06
60,20110330,1.6750098140099855e-05,8.668374849929631e-06,8.081723290170217e-06
61,20110331,2.2595622281439356e-05,1.0730276807048702e-05,1.1865345474390661e-05
62,20110401,2.1402337340274752e-05,9.282500880536158e-06,1.2119836459738603e-05
63,20110404,1.575977365335357e-05,6.1271465139862e-06,9.63262713936737e-06
64,20110405,2.0145276969368367e-05,1.1763440592144807e-05,8.38183637722356e-06
65,20110406,1.7390301937525517e-05,7.304264438610133e-06,1.008603749891538e-05
66,20110407,5.6556732905970477e-05,2.735760110694851e-05,2.9199131799021962e-05
67,20110408,2.9488104133604662e-05,1.2060286202126781e-05,1.7427817931477883e-05
68,20110411,2.6667554831774627e-05,1.0869655217039901e-05,1.5797899614734728e-05
69,20110412,4.1017542904944535e-05,2.002709095071576e-05,2.0990451954228766e-05
70,20110413,4.054151036456132e-05,1.9975336534079152e-05,2.0566173830482167e-05
71,20110414,3.189488856451718e-05,1.894577704052868e-05,1.2949111523988504e-05
72,20110415,2.7108829367800316e-05,1.5148017141874469e-05,1.1960812225925846e-05
73,20110418,6.534510034670744e-05,3.424722381783306e-05,3.1097876528874396e-05
74,20110419,2.0014128304930145e-05,1.1062853692029999e-05,8.951274612900144e-06
75,20110420,1.862923608571294e-05,9.664957923689877e-06,8.964278162023055e-06
76,20110421,1.2512149437436626e-05,6.1615995191043876e-06,6.350549918332236e-06
77,20110425,1.5259014939309475e-05,5.703847779998929e-06,9.555167159310544e-06
78,20110426,1.7118223558886058e-05,9.495640934809935e-06,7.62258262407613e-06
79,20110427,2.0084360738274822e-05,1.2418088227469173e-05,7.66627251080565e-06
80,20110428,1.406311106380012e-05,8.805128592902026e-06,5.2579824708980926e-06
81,20110429,8.440551578841282e-06,4.386736661940485e-06,4.053814916900797e-06
82,20110502,2.3484954885673568e-05,8.836404352330237e-06,1.4648550533343335e-05
83,20110503,3.6087050646056e-05,1.8113411736480198e-05,1.7973638909575814e-05
84,20110504,5.068334555940897e-05,1.770001860582405e-05,3.298332695358492e-05
85,20110505,9.097977083440585e-05,4.261679534204581e-05,4.836297549236005e-05
86,20110506,7.065217334415503e-05,3.0448877532105182e-05,4.020329581204984e-05
87,20110509,3.793280447843906e-05,2.1132177878766696e-05,1.6800626599672365e-05
