,DATE,RV_abs,RV_s,RSV_a_plus,RSV_a_minus,RSV_s_plus,RSV_s_minus
0,20030910.0,0.04843198582509434,4.650624037906563e-05,0.01995564687830509,0.02847633894678925,1.6266494035550414e-05,3.0239746343515222e-05
1,20030911.0,0.044715580521890175,3.893784967802752e-05,0.023091825137091068,0.021623755384799104,1.909418371331261e-05,1.9843665964714886e-05
2,20030912.0,0.05480917225020488,6.641273320760187e-05,0.03014458711061429,0.024664585139590568,3.636492852112246e-05,3.0047804686479402e-05
3,20030915.0,0.04760457933042428,4.087650807675424e-05,0.02165174871551656,0.025952830614907718,1.664315738734714e-05,2.4233350689407096e-05
4,20030916.0,0.03942259807714344,3.123763215526495e-05,0.026072763650502928,0.013349834426640506,2.2931089714059343e-05,8.306542441205617e-06
5,20030917.0,0.04145472039181186,3.475173201167173e-05,0.019517935775740902,0.02193678461607096,1.3517621400795614e-05,2.123411061087612e-05
6,20030918.0,0.04365711777195447,3.5757274622619794e-05,0.02750224222880515,0.016154875543149316,2.425361858570147e-05,1.1503656036918327e-05
7,20030919.0,0.04430742636491925,3.68067519536613e-05,0.020280062178982483,0.024027364185936758,1.4245603985436887e-05,2.2561147968224404e-05
8,20030922.0,0.04468184683512444,3.8003363820211264e-05,0.020392552710533533,0.02428929412459091,1.6276217350849912e-05,2.172714646936137e-05
9,20030923.0,0.040968021255410214,3.4814701840517624e-05,0.022963475089351704,0.01800454616605851,1.9682807421309465e-05,1.5131894419208166e-05
10,20030924.0,0.05580560865710549,6.078252217200811e-05,0.018169231504043808,0.03763637715306167,1.6249282925617426e-05,4.4533239246390665e-05
11,20030925.0,0.06140634466800421,6.772846707297154e-05,0.026743147674029192,0.03466319699397502,2.9140960965352003e-05,3.858750610761954e-05
12,20030926.0,0.07144200589425509,9.586139704151242e-05,0.03347582629631418,0.03796617959794092,4.434507695547784e-05,5.15163200860346e-05
13,20030929.0,0.055716074446742425,5.68109415281394e-05,0.030741035567758423,0.024975038878984,3.05886182178291e-05,2.622232331031032e-05
14,20030930.0,0.07318533450281972,0.00011796409093322912,0.03384828632831472,0.03933704817450501,5.087422467055365e-05,6.708986626267546e-05
15,20031001.0,0.05588253300198609,6.885152329443816e-05,0.03674204745447707,0.019140485547509026,4.896678159910536e-05,1.9884741695332814e-05
16,20031002.0,0.054113094632080916,5.1703278151710685e-05,0.029005065874425636,0.02510802875765528,3.017632328032655e-05,2.1526954871384128e-05
17,20031003.0,0.05952633092863735,7.036593341321629e-05,0.027927059806079242,0.03159927112255812,3.0431662039337892e-05,3.99342713738784e-05
18,20031006.0,0.03514020228138648,2.577330145828008e-05,0.018670530172855138,0.01646967210853134,1.4750636790463253e-05,1.102266466781681e-05
19,20031007.0,0.05789439619047521,6.406989351497117e-05,0.03343023608153217,0.02446416010894304,3.720190188565195e-05,2.686799162931921e-05
20,20031008.0,0.05074158755081548,5.505711421021106e-05,0.022438797870700355,0.028302789680115126,2.1983478837548272e-05,3.307363537266277e-05
21,20031009.0,0.05383922755699011,5.568955281298692e-05,0.02337926791814926,0.03045995963884085,2.3091277307472666e-05,3.259827550551424e-05
22,20031010.0,0.045324463794752745,4.080308782958605e-05,0.022326452156258725,0.02299801163849402,2.375474874385842e-05,1.7048339085727626e-05
23,20031013.0,0.0364606210694447,2.7660339616276338e-05,0.0189698674126424,0.017490753656802305,1.2629552028384559e-05,1.5030787587891794e-05
24,20031014.0,0.03908103102365424,3.381486581181834e-05,0.021825363356859917,0.017255667666794317,1.9402809316090346e-05,1.4412056495728013e-05
25,20031015.0,0.04284098187861929,3.878742372051121e-05,0.017341932803150332,0.02549904907546896,1.0984794323687692e-05,2.7802629396823494e-05
26,20031016.0,0.05352527835847365,5.1773967675815224e-05,0.029762791044516845,0.023762487313956804,2.9444897805993078e-05,2.2329069869822133e-05
