,LR,Layer1,Layer2,Layer3,Layer4,Fitness,Generation
90,0.01,20.0,2.0,15.0,10.0,0.3203344880795221,0.0
91,0.01,20.0,15.0,0.0,0.0,0.5604598075661564,0.0
92,0.01,20.0,15.0,4.0,0.0,0.5083157172857721,0.0
93,0.01,20.0,15.0,4.0,2.0,0.25376868560974075,0.0
94,0.01,20.0,15.0,4.0,10.0,0.14320911117329715,0.0
95,0.01,20.0,15.0,15.0,0.0,-0.16842289591623014,0.0
96,0.01,20.0,15.0,15.0,2.0,0.19754665667863008,0.0
97,0.01,20.0,15.0,15.0,10.0,-0.17211713073584467,0.0
98,0.01,20.0,40.0,0.0,0.0,0.6539525914880773,0.0
99,0.01,20.0,40.0,4.0,0.0,-0.06099862124117372,0.0
100,0.01,20.0,40.0,4.0,2.0,0.0628859060030944,0.0
101,0.01,20.0,40.0,4.0,10.0,0.3232964693489964,0.0
102,0.01,20.0,40.0,15.0,0.0,0.23277724240005385,0.0
103,0.01,20.0,40.0,15.0,2.0,-0.15585725004484408,0.0
104,0.01,20.0,40.0,15.0,10.0,0.1650359722961432,0.0
105,0.01,40.0,2.0,0.0,0.0,-0.10883850337147184,0.0
106,0.01,40.0,2.0,4.0,0.0,-0.041194457549825536,0.0
107,0.01,40.0,2.0,4.0,2.0,0.07065761491538702,0.0
108,0.01,40.0,2.0,4.0,10.0,0.6119470424944884,0.0
109,0.01,40.0,2.0,15.0,0.0,-0.34203499260041603,0.0
110,0.01,40.0,2.0,15.0,2.0,0.2823097742824076,0.0
111,0.01,40.0,2.0,15.0,10.0,0.442665769331382,0.0
112,0.01,40.0,15.0,0.0,0.0,0.6518474345881063,0.0
113,0.01,40.0,15.0,4.0,0.0,0.4499059316928814,0.0
114,0.01,40.0,15.0,4.0,2.0,-0.8741046434141014,0.0
115,0.01,40.0,15.0,4.0,10.0,0.4127701943625994,0.0
116,0.01,40.0,15.0,15.0,0.0,-0.015522285983835094,0.0
117,0.01,40.0,15.0,15.0,2.0,-0.1238160224642253,0.0
118,0.01,40.0,15.0,15.0,10.0,0.038799421221610286,0.0
119,0.01,40.0,40.0,0.0,0.0,0.4417237330482706,0.0
120,0.01,40.0,40.0,4.0,0.0,0.08220103903617793,0.0
121,0.01,40.0,40.0,4.0,2.0,0.269252949652006,0.0
122,0.01,40.0,40.0,4.0,10.0,-0.06121021411499505,0.0
123,0.01,40.0,40.0,15.0,0.0,0.13459800258283905,0.0
124,0.01,40.0,40.0,15.0,2.0,-0.1516765813539982,0.0
125,0.01,40.0,40.0,15.0,10.0,-0.052838425472572885,0.0
126,0.01,2.0,40.0,0.0,0.0,0.3249515088544476,
127,0.01,2.0,40.0,15.0,0.0,-0.09817998064427648,
128,0.01,2.0,40.0,0.0,0.0,0.5225698714273656,
129,0.041,2.0,40.0,15.0,0.0,-1.1642417118913349,
130,0.001,40.0,2.0,4.0,0.0,0.2266645064615161,
131,0.001,2.0,2.0,4.0,2.0,0.27004420804602725,
132,0.001,40.0,2.0,4.0,12.0,0.3660325059801901,
133,0.001,2.0,2.0,4.0,2.0,0.09097777164248357,
134,0.001,2.0,15.0,0.0,0.0,0.2775439482991855,
135,0.01,20.0,40.0,15.0,10.0,-0.08993617625101491,
136,0.001,2.0,1.0,0.0,0.0,0.017489621336638228,
137,0.01,20.0,40.0,18.0,10.0,0.3150473788893635,
138,0.01,20.0,15.0,4.0,0.0,0.4377020313702089,
139,0.01,2.0,2.0,15.0,10.0,-0.40706817159194864,
140,0.01,2.0,33.0,4.0,0.0,0.17918067034278784,
141,0.01,2.0,2.0,15.0,16.0,0.2646516246715072,
142,0.001,40.0,40.0,0.0,0.0,0.3239487684950657,
143,0.01,2.0,40.0,15.0,0.0,0.4594035590560514,
144,0.061,40.0,40.0,0.0,4.0,-3.470066455667397,
145,0.01,22.0,40.0,15.0,0.0,0.44466276548551975,
146,0.01,20.0,2.0,0.0,0.0,-0.09155718411734204,
147,0.01,2.0,40.0,15.0,0.0,0.010296392389528952,
148,0.001,20.0,2.0,0.0,4.0,-2.3174220817259714,
149,0.01,2.0,13.0,15.0,0.0,-0.13325995724185846,
150,0.01,20.0,2.0,4.0,0.0,0.3060457442989473,
151,0.01,2.0,15.0,0.0,0.0,0.2303076562709536,
152,0.01,20.0,25.0,4.0,0.0,0.4435024544807573,
153,0.041,2.0,15.0,0.0,0.0,0.5389886752512931,
154,0.01,20.0,15.0,4.0,2.0,0.2583279503240452,
155,0.01,2.0,40.0,0.0,0.0,-0.017316391620232574,
156,0.01,20.0,21.0,18.0,2.0,0.10133383797880367,
157,0.01,2.0,40.0,0.0,0.0,0.15273414012859174,
158,0.01,40.0,40.0,4.0,2.0,0.008093828230893552,
159,0.001,20.0,2.0,0.0,0.0,0.2548773662999,
160,0.01,40.0,40.0,15.0,16.0,0.36738387799408856,
161,0.001,42.0,2.0,0.0,0.0,0.2720888699338877,
162,0.01,40.0,40.0,15.0,10.0,-0.009866291238938008,
163,0.001,2.0,40.0,15.0,0.0,0.2086872449122348,
164,0.061,40.0,29.0,15.0,10.0,-0.2783407375503426,
165,0.001,2.0,40.0,18.0,0.0,0.2397659242888077,
166,0.001,40.0,15.0,0.0,0.0,0.3689095157981198,
167,0.01,40.0,2.0,4.0,12.0,0.1897006344094867,
168,0.021,40.0,15.0,0.0,4.0,0.6268438850695529,
169,0.01,32.0,2.0,4.0,12.0,0.19807191228969656,
170,0.01,40.0,2.0,15.0,10.0,0.56683261355405,
171,0.01,40.0,40.0,0.0,0.0,0.6918857995429498,
