,LR,Layer1,Layer2,Layer3,Layer4,Fitness,Generation
0,0.01,2.0,2.0,0.0,0.0,307.38943799442734,0
1,0.01,2.0,2.0,2.0,0.0,375.01845014441926,0
2,0.01,2.0,2.0,2.0,2.0,295.02790461016616,0
3,0.01,2.0,2.0,2.0,10.0,291.69273891869796,0
4,0.01,2.0,2.0,2.0,20.0,281.536028750038,0
5,0.01,2.0,2.0,10.0,0.0,329.24489079668575,0
6,0.01,2.0,2.0,10.0,2.0,314.3461475173154,0
7,0.01,2.0,2.0,10.0,10.0,334.88223540219786,0
8,0.01,2.0,2.0,10.0,20.0,238.45450377592294,0
9,0.01,2.0,2.0,20.0,0.0,286.4057613268802,0
10,0.01,2.0,2.0,20.0,2.0,322.9637370729182,0
11,0.01,2.0,2.0,20.0,10.0,361.7191326100217,0
12,0.01,2.0,2.0,20.0,20.0,292.81645580201354,0
13,0.01,2.0,10.0,0.0,0.0,343.7421879001701,0
14,0.01,2.0,10.0,2.0,0.0,284.78866433418926,0
15,0.01,2.0,10.0,2.0,2.0,296.9355604262264,0
16,0.01,2.0,10.0,2.0,10.0,292.7983663297834,0
17,0.01,2.0,10.0,2.0,20.0,356.85269582926253,0
18,0.01,2.0,10.0,10.0,0.0,331.46818057593896,0
19,0.01,2.0,10.0,10.0,2.0,296.85806323902403,0
20,0.01,2.0,10.0,10.0,10.0,280.8028907900417,0
21,0.01,2.0,10.0,10.0,20.0,347.79616206374465,0
22,0.01,2.0,10.0,20.0,0.0,369.2659922563573,0
23,0.01,2.0,10.0,20.0,2.0,315.1904945826976,0
24,0.01,2.0,10.0,20.0,10.0,320.24032082848373,0
25,0.01,2.0,10.0,20.0,20.0,366.8230769059544,0
26,0.01,2.0,20.0,0.0,0.0,331.1517437700928,0
27,0.01,2.0,20.0,2.0,0.0,324.2253076582516,0
28,0.01,2.0,20.0,2.0,2.0,292.1753760832297,0
29,0.01,2.0,20.0,2.0,10.0,315.8827294415675,0
30,0.01,2.0,20.0,2.0,20.0,328.51516859992205,0
31,0.01,2.0,20.0,10.0,0.0,289.7657585633378,0
32,0.01,2.0,20.0,10.0,2.0,331.44903286637475,0
33,0.01,2.0,20.0,10.0,10.0,258.2837820970441,0
34,0.01,2.0,20.0,10.0,20.0,324.30585440044524,0
35,0.01,2.0,20.0,20.0,0.0,282.3785702803721,0
36,0.01,2.0,20.0,20.0,2.0,288.27476909035914,0
37,0.01,2.0,20.0,20.0,10.0,221.39673882757256,0
38,0.01,2.0,20.0,20.0,20.0,340.2098611799046,0
39,0.01,2.0,40.0,0.0,0.0,287.8639875266041,0
40,0.01,2.0,40.0,2.0,0.0,341.85822866243484,0
41,0.01,2.0,40.0,2.0,2.0,100.75713362205616,0
42,0.01,2.0,40.0,2.0,10.0,348.6649404114934,0
43,0.01,2.0,40.0,2.0,20.0,345.6362470298775,0
44,0.01,2.0,40.0,10.0,0.0,256.1436164671554,0
45,0.01,2.0,40.0,10.0,2.0,256.81261294322616,0
46,0.01,2.0,40.0,10.0,10.0,303.09947387961455,0
47,0.01,2.0,40.0,10.0,20.0,331.16611904111926,0
48,0.01,2.0,40.0,20.0,0.0,344.0466249266194,0
49,0.01,2.0,40.0,20.0,2.0,318.0560971174995,0
50,0.01,2.0,40.0,20.0,10.0,334.9664107451555,0
51,0.01,2.0,40.0,20.0,20.0,223.81304139546495,0
52,0.01,20.0,2.0,0.0,0.0,272.46403880328705,0
53,0.01,20.0,2.0,2.0,0.0,288.73192336551983,0
54,0.01,20.0,2.0,2.0,2.0,287.8307218495267,0
55,0.01,20.0,2.0,2.0,10.0,332.8512379345276,0
56,0.01,20.0,2.0,2.0,20.0,311.77379482240104,0
57,0.01,20.0,2.0,10.0,0.0,345.6207974392869,0
58,0.01,20.0,2.0,10.0,2.0,291.25148060390256,0
59,0.01,20.0,2.0,10.0,10.0,216.51219582368986,0
60,0.01,20.0,2.0,10.0,20.0,261.3150845301149,0
61,0.01,20.0,2.0,20.0,0.0,277.40033348551015,0
62,0.01,20.0,2.0,20.0,2.0,296.2958853976131,0
63,0.01,20.0,2.0,20.0,10.0,329.304063110603,0
64,0.01,20.0,2.0,20.0,20.0,326.42682405914263,0
65,0.01,20.0,10.0,0.0,0.0,381.15190917282087,0
66,0.01,20.0,10.0,2.0,0.0,277.8074626312562,0
67,0.01,20.0,10.0,2.0,2.0,358.2399972603601,0
68,0.01,20.0,10.0,2.0,10.0,289.685786779054,0
69,0.01,20.0,10.0,2.0,20.0,227.3119185085778,0
70,0.01,20.0,10.0,10.0,0.0,310.71099877755574,0
71,0.01,20.0,10.0,10.0,2.0,245.2597451364285,0
72,0.01,20.0,10.0,10.0,10.0,331.10857970449524,0
73,0.01,20.0,10.0,10.0,20.0,303.59095927963335,0
74,0.01,20.0,10.0,20.0,0.0,358.6270751382467,0
75,0.01,20.0,10.0,20.0,2.0,356.1071887032617,0
76,0.01,20.0,10.0,20.0,10.0,318.32160738091244,0
77,0.01,20.0,10.0,20.0,20.0,224.16831456512563,0
78,0.01,20.0,20.0,0.0,0.0,352.8858078664747,0
79,0.01,20.0,20.0,2.0,0.0,301.03316599406355,0
80,0.01,20.0,20.0,2.0,2.0,309.248079413647,0
81,0.01,20.0,20.0,2.0,10.0,309.23663644107876,0
82,0.01,20.0,20.0,2.0,20.0,261.45044581000275,0
83,0.01,20.0,20.0,10.0,0.0,310.88008440153015,0
84,0.01,20.0,20.0,10.0,2.0,335.4985713584707,0
85,0.01,20.0,20.0,10.0,10.0,277.6822907668426,0
86,0.01,20.0,20.0,10.0,20.0,293.2298912239805,0
87,0.01,20.0,20.0,20.0,0.0,307.39554514424304,0
88,0.01,20.0,20.0,20.0,2.0,304.55404356172164,0
89,0.01,20.0,20.0,20.0,10.0,306.10177842574456,0
90,0.01,20.0,20.0,20.0,20.0,274.931093205802,0
91,0.01,20.0,40.0,0.0,0.0,378.31379512305165,0
92,0.01,20.0,40.0,2.0,0.0,267.377860794455,0
93,0.01,20.0,40.0,2.0,2.0,297.84181816854823,0
94,0.01,20.0,40.0,2.0,10.0,351.04789619361895,0
95,0.01,20.0,40.0,2.0,20.0,286.8421081246098,0
96,0.01,20.0,40.0,10.0,0.0,315.0553143862501,0
97,0.01,20.0,40.0,10.0,2.0,303.630356322095,0
98,0.01,20.0,40.0,10.0,10.0,191.79310414721698,0
99,0.01,20.0,40.0,10.0,20.0,306.3638533158137,0
100,0.01,20.0,40.0,20.0,0.0,257.7232710326548,0
101,0.01,20.0,40.0,20.0,2.0,272.50131729086235,0
102,0.01,20.0,40.0,20.0,10.0,325.4046487637339,0
103,0.01,20.0,40.0,20.0,20.0,329.4593029732773,0
104,0.01,40.0,2.0,0.0,0.0,362.3178262579504,0
105,0.01,40.0,2.0,2.0,0.0,318.88539197271064,0
106,0.01,40.0,2.0,2.0,2.0,327.25830137124814,0
107,0.01,40.0,2.0,2.0,10.0,344.64974071729404,0
108,0.01,40.0,2.0,2.0,20.0,254.94249557328482,0
109,0.01,40.0,2.0,10.0,0.0,312.2325305034756,0
110,0.01,40.0,2.0,10.0,2.0,261.1575909395638,0
111,0.01,40.0,2.0,10.0,10.0,275.46753866673015,0
112,0.01,40.0,2.0,10.0,20.0,303.74002207963326,0
113,0.01,40.0,2.0,20.0,0.0,378.2608004055788,0
114,0.01,40.0,2.0,20.0,2.0,305.3791028405938,0
115,0.01,40.0,2.0,20.0,10.0,283.75291012448156,0
116,0.01,40.0,2.0,20.0,20.0,346.91379217502185,0
117,0.01,40.0,10.0,0.0,0.0,270.83811791091495,0
118,0.01,40.0,10.0,2.0,0.0,365.0230612582475,0
119,0.01,40.0,10.0,2.0,2.0,327.9266276304415,0
120,0.01,40.0,10.0,2.0,10.0,318.20014933248706,0
121,0.01,40.0,10.0,2.0,20.0,359.94211953629906,0
122,0.01,40.0,10.0,10.0,0.0,294.67188735036336,0
123,0.01,40.0,10.0,10.0,2.0,240.68264163382563,0
124,0.01,40.0,10.0,10.0,10.0,353.5222023378932,0
125,0.01,40.0,10.0,10.0,20.0,312.0616704370373,0
126,0.01,40.0,10.0,20.0,0.0,309.44339218130773,0
127,0.01,40.0,10.0,20.0,2.0,221.25803753528362,0
128,0.01,40.0,10.0,20.0,10.0,287.8472272671929,0
129,0.01,40.0,10.0,20.0,20.0,315.04969927058016,0
130,0.01,40.0,20.0,0.0,0.0,313.15420367992584,0
131,0.01,40.0,20.0,2.0,0.0,306.26753688035797,0
132,0.01,40.0,20.0,2.0,2.0,102.84678329414457,0
133,0.01,40.0,20.0,2.0,10.0,357.90165045257686,0
134,0.01,40.0,20.0,2.0,20.0,290.26122241647084,0
135,0.01,40.0,20.0,10.0,0.0,307.76311197516486,0
136,0.01,40.0,20.0,10.0,2.0,328.74692967568376,0
137,0.01,40.0,20.0,10.0,10.0,290.8903074804944,0
138,0.01,40.0,20.0,10.0,20.0,303.9868984782831,0
139,0.01,40.0,20.0,20.0,0.0,293.65131964471,0
140,0.01,40.0,20.0,20.0,2.0,282.8496597421795,0
141,0.01,40.0,20.0,20.0,10.0,335.4006486121727,0
142,0.01,40.0,20.0,20.0,20.0,278.5099344446172,0
143,0.01,40.0,40.0,0.0,0.0,384.28194115253996,0
144,0.01,40.0,40.0,2.0,0.0,274.32150272111284,0
145,0.01,40.0,40.0,2.0,2.0,333.11882953261716,0
146,0.01,40.0,40.0,2.0,10.0,263.2266263597597,0
147,0.01,40.0,40.0,2.0,20.0,340.70193570756476,0
148,0.01,40.0,40.0,10.0,0.0,360.44716822692317,0
149,0.01,40.0,40.0,10.0,2.0,287.8012147398901,0
150,0.01,40.0,40.0,10.0,10.0,317.28276404036535,0
151,0.01,40.0,40.0,10.0,20.0,309.67036232386465,0
152,0.01,40.0,40.0,20.0,0.0,199.07556321203685,0
153,0.01,40.0,40.0,20.0,2.0,275.7287473936734,0
154,0.01,40.0,40.0,20.0,10.0,312.20672058420035,0
155,0.01,40.0,40.0,20.0,20.0,186.13975272487662,0
