,LR,Layer1,Layer2,Layer3,Layer4,Fitness,Generation
86,0.01,20.0,20.0,10.0,20.0,29.489275376721576,0
87,0.01,20.0,20.0,20.0,0.0,28.329918189586245,0
88,0.01,20.0,20.0,20.0,2.0,29.353160654740222,0
89,0.01,20.0,20.0,20.0,10.0,34.16890897585097,0
90,0.01,20.0,20.0,20.0,20.0,28.02151683393801,0
91,0.01,20.0,40.0,0.0,0.0,27.63119996671822,0
92,0.01,20.0,40.0,2.0,0.0,25.63684446988023,0
93,0.01,20.0,40.0,2.0,2.0,25.90462033634295,0
94,0.01,20.0,40.0,2.0,10.0,28.173350732210924,0
95,0.01,20.0,40.0,2.0,20.0,24.35704730340227,0
96,0.01,20.0,40.0,10.0,0.0,31.387709297108234,0
97,0.01,20.0,40.0,10.0,2.0,24.11485381193274,0
98,0.01,20.0,40.0,10.0,10.0,26.127120898326822,0
99,0.01,20.0,40.0,10.0,20.0,26.862661773276884,0
100,0.01,20.0,40.0,20.0,0.0,29.213472411678836,0
101,0.01,20.0,40.0,20.0,2.0,27.119373644595772,0
102,0.01,20.0,40.0,20.0,10.0,30.182556903431085,0
103,0.01,20.0,40.0,20.0,20.0,30.6611730509386,0
104,0.01,40.0,2.0,0.0,0.0,29.89142429330662,0
105,0.01,40.0,2.0,2.0,0.0,25.897182040812105,0
106,0.01,40.0,2.0,2.0,2.0,20.67040463636037,0
107,0.01,40.0,2.0,2.0,10.0,25.775438618094906,0
108,0.01,40.0,2.0,2.0,20.0,30.107002040404108,0
109,0.01,40.0,2.0,10.0,0.0,27.827856579638286,0
110,0.01,40.0,2.0,10.0,2.0,30.89434544395168,0
111,0.01,40.0,2.0,10.0,10.0,32.74640704622603,0
112,0.01,40.0,2.0,10.0,20.0,32.28077981208752,0
113,0.01,40.0,2.0,20.0,0.0,32.36840571417453,0
114,0.01,40.0,2.0,20.0,2.0,34.76298567068045,0
115,0.01,40.0,2.0,20.0,10.0,28.247436893321304,0
116,0.01,40.0,2.0,20.0,20.0,28.61949409825412,0
117,0.01,40.0,10.0,0.0,0.0,32.80481158098558,0
118,0.01,40.0,10.0,2.0,0.0,25.721024240279768,0
119,0.01,40.0,10.0,2.0,2.0,19.222055330666542,0
120,0.01,40.0,10.0,2.0,10.0,34.04352087294939,0
121,0.01,40.0,10.0,2.0,20.0,26.464198570331728,0
122,0.01,40.0,10.0,10.0,0.0,31.561075068950686,0
123,0.01,40.0,10.0,10.0,2.0,28.130894867257098,0
124,0.01,40.0,10.0,10.0,10.0,26.7570551291889,0
125,0.01,40.0,10.0,10.0,20.0,25.9172352275199,0
126,0.01,40.0,10.0,20.0,0.0,27.763825593813102,0
127,0.01,40.0,10.0,20.0,2.0,27.709200958324317,0
128,0.01,40.0,10.0,20.0,10.0,27.59198393723895,0
129,0.01,40.0,10.0,20.0,20.0,20.138169732884258,0
130,0.01,40.0,20.0,0.0,0.0,23.67495930568302,0
131,0.01,40.0,20.0,2.0,0.0,35.88907499451301,0
132,0.01,40.0,20.0,2.0,2.0,37.82802096374998,0
133,0.01,40.0,20.0,2.0,10.0,28.785993136278492,0
134,0.01,40.0,20.0,2.0,20.0,34.459523496352745,0
135,0.01,40.0,20.0,10.0,0.0,35.386754037460676,0
136,0.01,40.0,20.0,10.0,2.0,29.54286817182055,0
137,0.01,40.0,20.0,10.0,10.0,34.239479587379435,0
138,0.01,40.0,20.0,10.0,20.0,32.417936434939975,0
139,0.01,40.0,20.0,20.0,0.0,21.26390352297758,0
140,0.01,40.0,20.0,20.0,2.0,28.645494228567905,0
141,0.01,40.0,20.0,20.0,10.0,33.77877896639005,0
142,0.01,40.0,20.0,20.0,20.0,23.927887937306153,0
143,0.01,40.0,40.0,0.0,0.0,27.126943667090952,0
144,0.01,40.0,40.0,2.0,0.0,29.877116927907682,0
145,0.01,40.0,40.0,2.0,2.0,19.32561676014251,0
146,0.01,40.0,40.0,2.0,10.0,28.546557179156764,0
147,0.01,40.0,40.0,2.0,20.0,24.085866037023408,0
148,0.01,40.0,40.0,10.0,0.0,24.31281145042478,0
149,0.01,40.0,40.0,10.0,2.0,19.29678952926932,0
150,0.01,40.0,40.0,10.0,10.0,34.36989759932198,0
151,0.01,40.0,40.0,10.0,20.0,26.219615138792292,0
152,0.01,40.0,40.0,20.0,0.0,27.66130902537366,0
153,0.01,40.0,40.0,20.0,2.0,21.855289510324866,0
154,0.01,40.0,40.0,20.0,10.0,19.258685224152902,0
155,0.01,40.0,40.0,20.0,20.0,11.181935280873859,0
