,LR,Layer1,Layer2,Layer3,Layer4,Fitness,Generation
0,0.01,2.0,2.0,0.0,0.0,187.0621837361166,0
1,0.01,2.0,2.0,2.0,0.0,176.72396419347564,0
2,0.01,2.0,2.0,2.0,2.0,182.03406160598243,0
3,0.01,2.0,2.0,2.0,10.0,209.9642489249752,0
4,0.01,2.0,2.0,2.0,20.0,258.9261289592319,0
5,0.01,2.0,2.0,10.0,0.0,234.31604213667725,0
6,0.01,2.0,2.0,10.0,2.0,254.98084711215103,0
7,0.01,2.0,2.0,10.0,10.0,260.15113381610195,0
8,0.01,2.0,2.0,10.0,20.0,197.2953585256726,0
9,0.01,2.0,2.0,20.0,0.0,243.71516495615944,0
10,0.01,2.0,2.0,20.0,2.0,229.78609935845014,0
11,0.01,2.0,2.0,20.0,10.0,257.27628863527696,0
12,0.01,2.0,2.0,20.0,20.0,187.20379149342338,0
13,0.01,2.0,10.0,0.0,0.0,240.41792249631925,0
14,0.01,2.0,10.0,2.0,0.0,224.068242932447,0
15,0.01,2.0,10.0,2.0,2.0,158.8922473066927,0
16,0.01,2.0,10.0,2.0,10.0,246.6807096502493,0
17,0.01,2.0,10.0,2.0,20.0,137.45270261499957,0
18,0.01,2.0,10.0,10.0,0.0,237.17561625852693,0
19,0.01,2.0,10.0,10.0,2.0,205.22802934192794,0
20,0.01,2.0,10.0,10.0,10.0,148.53304042413936,0
21,0.01,2.0,10.0,10.0,20.0,216.7864699088479,0
22,0.01,2.0,10.0,20.0,0.0,238.93410348192108,0
23,0.01,2.0,10.0,20.0,2.0,196.24016178616472,0
24,0.01,2.0,10.0,20.0,10.0,204.3134392526086,0
25,0.01,2.0,10.0,20.0,20.0,156.53032027018844,0
26,0.01,2.0,20.0,0.0,0.0,287.9038626038448,0
27,0.01,2.0,20.0,2.0,0.0,154.0776492778943,0
28,0.01,2.0,20.0,2.0,2.0,321.89828007959557,0
29,0.01,2.0,20.0,2.0,10.0,274.3486709194034,0
30,0.01,2.0,20.0,2.0,20.0,208.15852415582276,0
31,0.01,2.0,20.0,10.0,0.0,146.9737838504244,0
32,0.01,2.0,20.0,10.0,2.0,261.57994317129163,0
33,0.01,2.0,20.0,10.0,10.0,260.58638444275664,0
34,0.01,2.0,20.0,10.0,20.0,176.23493893733297,0
35,0.01,2.0,20.0,20.0,0.0,182.86656070630048,0
36,0.01,2.0,20.0,20.0,2.0,161.26918562228698,0
37,0.01,2.0,20.0,20.0,10.0,244.48155946951888,0
38,0.01,2.0,20.0,20.0,20.0,254.8576620319916,0
39,0.01,2.0,40.0,0.0,0.0,207.6098276749757,0
40,0.01,2.0,40.0,2.0,0.0,190.0566229640661,0
41,0.01,2.0,40.0,2.0,2.0,221.16007180068465,0
42,0.01,2.0,40.0,2.0,10.0,231.34163595840192,0
43,0.01,2.0,40.0,2.0,20.0,244.5631406851606,0
44,0.01,2.0,40.0,10.0,0.0,241.49045212739776,0
